country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","27-11-2025 09:00:00",28.530785,77.271255,PM2.5,237,456,360
India,Delhi,Delhi,"Okhla Phase-2, Delhi - DPCC","27-11-2025 09:00:00",28.530785,77.271255,PM10,157,444,330
India,Delhi,Delhi,"Patparganj, Delhi - DPCC","27-11-2025 09:00:00",28.623763,77.287209,OZONE,3,192,4
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","27-11-2025 09:00:00",28.672342,77.315260,PM2.5,173,500,409
India,Delhi,Delhi,"Vivek Vihar, Delhi - DPCC","27-11-2025 09:00:00",28.672342,77.315260,PM10,148,500,369
India,Delhi,Delhi,"Wazirpur, Delhi - DPCC","27-11-2025 09:00:00",28.699793,77.165453,CO,54,146,122
India,Gujarat,Ahmedabad,"Chandkheda, Ahmedabad - IITM","27-11-2025 09:00:00",23.107969,72.574648,SO2,10,26,17
India,Gujarat,Ahmedabad,"Gyaspur, Ahmedabad - IITM","27-11-2025 09:00:00",22.977134,72.553024,CO,44,103,55
India,Gujarat,Ahmedabad,"Maninagar, Ahmedabad - GPCB","27-11-2025 09:00:00",23.002657,72.591912,PM2.5,83,187,121
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","27-11-2025 09:00:00",29.503664,75.467934,CO,25,36,30
India,Haryana,Gurugram,"NISE Gwal Pahari, Gurugram - IMD","27-11-2025 09:00:00",28.422681,77.148944,CO,8,118,53
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","27-11-2025 09:00:00",28.4275,77.1465,PM2.5,94,342,297
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","27-11-2025 09:00:00",28.4275,77.1465,NO2,12,76,52
India,Haryana,Gurugram,"Teri Gram, Gurugram - HSPCB","27-11-2025 09:00:00",28.4275,77.1465,OZONE,10,44,12
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","27-11-2025 09:00:00",28.4501238,77.0263051,PM2.5,171,368,327
India,Haryana,Gurugram,"Vikas Sadan, Gurugram - HSPCB","27-11-2025 09:00:00",28.4501238,77.0263051,SO2,2,8,5
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB","27-11-2025 09:00:00",29.140560,75.744941,PM10,NA,NA,NA
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB","27-11-2025 09:00:00",28.206800,76.799700,CO,71,100,88
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","27-11-2025 09:00:00",28.39072,77.30059,PM2.5,223,241,231
India,Haryana,Faridabad,"New Industrial Town, Faridabad - HSPCB","27-11-2025 09:00:00",28.39072,77.30059,OZONE,26,35,31
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","27-11-2025 09:00:00",28.376058,77.315741,PM2.5,NA,NA,NA
India,Haryana,Faridabad,"Sector 11, Faridabad - HSPCB","27-11-2025 09:00:00",28.376058,77.315741,SO2,NA,NA,NA
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB","27-11-2025 09:00:00",28.4417,77.3217,PM10,144,148,145
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","27-11-2025 09:00:00",29.503664,75.467934,NH3,13,15,14
India,Haryana,Fatehabad,"Huda Sector, Fatehabad - HSPCB","27-11-2025 09:00:00",29.503664,75.467934,SO2,2,30,12
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","27-11-2025 09:00:00",28.3153,76.9143,NH3,4,10,6
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM","27-11-2025 09:00:00",28.3153,76.9143,OZONE,11,301,13
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ","27-11-2025 09:00:00",30.7057778,76.8531805555555,SO2,8,9,9
India,Haryana,Rohtak,"MD University, Rohtak - HSPCB","27-11-2025 09:00:00",28.52123,76.37138,PM10,124,176,154
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-11-2025 09:00:00",29.536400,75.015800,PM10,70,128,105
India,Haryana,Sirsa,"F-Block, Sirsa - HSPCB","27-11-2025 09:00:00",29.536400,75.015800,NO2,11,32,17
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","27-11-2025 09:00:00",29.027200,77.062100,PM10,NA,NA,NA
India,Haryana,Sonipat,"Murthal, Sonipat - HSPCB","27-11-2025 09:00:00",29.027200,77.062100,NH3,13,38,17
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","27-11-2025 09:00:00",23.023389,72.515201,NH3,11,23,14
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM","27-11-2025 09:00:00",23.023389,72.515201,SO2,21,36,26
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","27-11-2025 09:00:00",23.076793,72.627874,NO2,34,71,47
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","27-11-2025 09:00:00",23.076793,72.627874,CO,13,99,36
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM","27-11-2025 09:00:00",23.076793,72.627874,OZONE,11,58,33
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB","27-11-2025 09:00:00",21.613267,73.010555,OZONE,34,49,45
